0	0	0	0	0	63	0	55	54	53	52	51	50	49	48	47	46	45	44	43	42	0	44	45	0	0	0	0	0	0	0	19	18	17	16	15	14	0	0	11	0	9	8	7	8	
0	0	0	0	0	62	0	56	55	54	53	0	0	0	47	46	45	44	43	42	41	42	43	0	25	24	23	22	0	20	0	18	0	16	15	14	13	12	11	10	9	8	7	6	0	
0	0	0	0	0	61	0	57	56	55	0	49	48	47	46	45	44	43	42	41	40	41	42	0	0	23	22	21	20	19	18	17	16	15	14	13	0	0	0	0	8	7	6	5	6	
65	64	63	62	61	60	59	0	0	0	0	50	49	48	47	0	43	42	0	40	39	40	0	38	37	0	23	22	21	20	0	0	15	14	13	12	11	10	9	8	7	6	5	4	0	
64	63	62	61	60	59	58	0	52	51	50	49	48	49	48	0	42	41	40	39	38	0	0	0	36	0	24	0	22	21	22	0	16	15	14	13	12	11	10	9	0	5	4	3	4	
63	62	61	60	59	0	57	0	0	0	0	48	47	48	0	0	0	0	39	38	37	36	0	34	35	0	25	26	0	0	0	18	17	16	0	14	13	12	11	0	0	4	3	2	3	
62	61	60	0	58	57	56	0	0	0	48	0	46	0	0	41	40	39	38	37	36	35	34	33	0	27	26	27	28	0	0	0	0	17	0	0	0	0	0	0	0	5	0	1	2	
63	0	59	58	57	56	55	54	0	48	47	46	45	44	43	42	0	40	39	38	37	0	33	32	0	0	27	28	29	30	31	0	0	0	0	0	0	42	43	0	0	0	0	0	1	
64	0	0	0	56	55	54	53	52	0	48	47	46	0	44	0	0	41	40	0	38	37	0	31	30	29	28	29	0	31	0	35	0	0	0	39	40	41	42	0	44	45	46	0	0	
0	0	57	56	55	54	53	52	51	0	49	0	47	46	45	46	0	0	39	38	37	36	35	0	31	30	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	
60	59	58	0	54	53	52	51	50	49	48	47	46	45	0	0	40	39	38	37	36	35	34	33	32	31	30	31	32	33	34	35	36	37	38	39	40	0	42	0	44	0	46	0	48	
61	60	59	60	0	0	0	0	51	0	47	46	45	44	43	42	41	40	39	38	0	36	35	0	33	32	31	32	33	0	35	36	37	0	0	40	0	52	0	46	45	46	0	0	49	
62	0	60	61	62	63	64	0	50	49	48	0	46	45	0	43	42	0	0	39	38	37	36	35	34	0	0	33	34	0	36	37	0	0	50	0	52	51	50	0	46	47	48	49	0	
